    Time: 2018-3-21 14:06:55
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\180321\180321.006
Experimenter: 
Sample:

R_Va=1M Omega

I_AC1=10e-7 A;
I_AC2=10e-7 A;
I_AC3=10e-9 A;
I_AC4=10e-7 A;



     180321_006_Time	 180321_006_LI5640_X	 180321_006_LI5640_X	 180321_006_K2612_Va	   180321_006_IPS120	 180321_006_LI5640_X	 180321_006_LI5640_X
   3.000000E-3	   7.683000E-7	   7.043000E-6	  -7.295610E-4	   4.500000E-1	   1.433700E-6	   1.996000E-7
   1.310000E-1	   7.686000E-7	   7.042000E-6	  -7.510190E-4	   4.500000E-1	   1.433600E-6	   1.990000E-7
   2.980000E-1	   7.692000E-7	   7.041000E-6	  -7.510190E-4	   4.500000E-1	   1.433900E-6	   1.984000E-7
   4.340000E-1	   7.696000E-7	   7.040000E-6	  -7.367130E-4	   4.500000E-1	   1.434700E-6	   1.980000E-7
   5.840000E-1	   7.698000E-7	   7.039000E-6	  -7.367130E-4	   4.500000E-1	   1.435500E-6	   1.977000E-7
   7.220000E-1	   7.695000E-7	   7.037000E-6	  -7.414820E-4	   4.500000E-1	   1.436400E-6	   1.975000E-7
   8.710000E-1	   7.690000E-7	   7.036000E-6	  -7.414820E-4	   4.500000E-1	   1.436900E-6	   1.976000E-7
   1.008000E+0	   7.683000E-7	   7.036000E-6	  -7.748600E-4	   4.500000E-1	   1.437500E-6	   1.981000E-7
   1.172000E+0	   7.681000E-7	   7.036000E-6	  -7.748600E-4	   4.500000E-1	   1.437500E-6	   1.984000E-7
   1.299000E+0	   7.683000E-7	   7.036000E-6	  -7.581710E-4	   4.500000E-1	   1.437200E-6	   1.984000E-7
   1.450000E+0	   7.689000E-7	   7.036000E-6	  -7.581710E-4	   4.500000E-1	   1.436200E-6	   1.986000E-7
   1.615000E+0	   7.702000E-7	   7.039000E-6	  -7.390980E-4	   4.500000E-1	   1.434400E-6	   1.990000E-7
   1.779000E+0	   7.716000E-7	   7.041000E-6	  -7.390980E-4	   4.500000E-1	   1.433000E-6	   1.991000E-7
   1.899000E+0	   7.731000E-7	   7.044000E-6	  -7.414820E-4	   4.500000E-1	   1.431700E-6	   1.989000E-7
   2.049000E+0	   7.740000E-7	   7.046000E-6	  -7.414820E-4	   4.500000E-1	   1.430600E-6	   1.984000E-7
   2.189000E+0	   7.750000E-7	   7.050000E-6	  -7.367130E-4	   4.500000E-1	   1.429300E-6	   1.980000E-7
   2.327000E+0	   7.756000E-7	   7.051000E-6	  -7.367130E-4	   4.500000E-1	   1.428700E-6	   1.979000E-7
   2.467000E+0	   7.761000E-7	   7.052000E-6	  -7.247920E-4	   4.500000E-1	   1.428400E-6	   1.982000E-7
   2.629000E+0	   7.765000E-7	   7.053000E-6	  -7.247920E-4	   4.500000E-1	   1.428500E-6	   1.983000E-7
   2.779000E+0	   7.767000E-7	   7.052000E-6	  -7.224080E-4	   4.500000E-1	   1.429000E-6	   1.982000E-7
   2.913000E+0	   7.765000E-7	   7.052000E-6	  -7.224080E-4	   4.500000E-1	   1.429300E-6	   1.980000E-7
