    Time: 2018-3-21 14:50:06
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\180321\180321.007
Experimenter: 
Sample:







     180321_007_Time	 180321_007_LI5640_X	 180321_007_LI5640_X	 180321_007_K2612_Va	   180321_007_IPS120	 180321_007_LI5640_X	 180321_007_LI5640_X
   3.000000E-3	   3.867000E-6	   7.041000E-6	  -6.151200E-4	   4.500000E-1	   1.430600E-6	   5.912000E-6
   1.700000E-1	   3.868000E-6	   7.043000E-6	  -6.175040E-4	   4.500000E-1	   1.430600E-6	   5.912000E-6
   3.160000E-1	   3.867000E-6	   7.045000E-6	  -6.389620E-4	   4.500000E-1	   1.431100E-6	   5.912000E-6
   4.620000E-1	   3.866000E-6	   7.046000E-6	  -6.389620E-4	   4.500000E-1	   1.431400E-6	   5.911000E-6
   6.100000E-1	   3.865000E-6	   7.046000E-6	  -6.127360E-4	   4.497000E-1	   1.431700E-6	   5.910000E-6
   7.620000E-1	   3.864000E-6	   7.045000E-6	  -6.127360E-4	   4.497000E-1	   1.431800E-6	   5.908000E-6
   8.990000E-1	   3.862000E-6	   7.043000E-6	  -6.008150E-4	   4.494000E-1	   1.432300E-6	   5.907000E-6
   1.059000E+0	   3.862000E-6	   7.042000E-6	  -6.008150E-4	   4.494000E-1	   1.432900E-6	   5.906000E-6
   1.180000E+0	   3.861000E-6	   7.041000E-6	  -6.175040E-4	   4.494000E-1	   1.433400E-6	   5.905000E-6
   1.328000E+0	   3.862000E-6	   7.040000E-6	  -6.175040E-4	   4.491000E-1	   1.433900E-6	   5.905000E-6
   1.474000E+0	   3.863000E-6	   7.039000E-6	  -5.769730E-4	   4.491000E-1	   1.433700E-6	   5.905000E-6
   1.621000E+0	   3.864000E-6	   7.039000E-6	  -5.769730E-4	   4.488000E-1	   1.433500E-6	   5.906000E-6
   1.775000E+0	   3.866000E-6	   7.040000E-6	  -6.008150E-4	   4.488000E-1	   1.433600E-6	   5.906000E-6
   1.922000E+0	   3.867000E-6	   7.041000E-6	  -6.008150E-4	   4.486000E-1	   1.434100E-6	   5.907000E-6
   2.043000E+0	   3.868000E-6	   7.042000E-6	  -5.960460E-4	   4.486000E-1	   1.435200E-6	   5.907000E-6
   2.191000E+0	   3.868000E-6	   7.042000E-6	  -5.960460E-4	   4.486000E-1	   1.436200E-6	   5.908000E-6
   2.366000E+0	   3.868000E-6	   7.043000E-6	  -6.079670E-4	   4.482000E-1	   1.436500E-6	   5.908000E-6
   2.527000E+0	   3.868000E-6	   7.043000E-6	  -6.079670E-4	   4.482000E-1	   1.436300E-6	   5.909000E-6
   2.649000E+0	   3.867000E-6	   7.042000E-6	  -6.031990E-4	   4.480000E-1	   1.435300E-6	   5.909000E-6
   2.827000E+0	   3.867000E-6	   7.042000E-6	  -6.031990E-4	   4.480000E-1	   1.434400E-6	   5.910000E-6
   2.961000E+0	   3.867000E-6	   7.041000E-6	  -5.960460E-4	   4.477000E-1	   1.433100E-6	   5.910000E-6
   3.108000E+0	   3.867000E-6	   7.040000E-6	  -5.960460E-4	   4.477000E-1	   1.432300E-6	   5.910000E-6
   3.243000E+0	   3.868000E-6	   7.039000E-6	  -5.984310E-4	   4.477000E-1	   1.432200E-6	   5.911000E-6
   3.405000E+0	   3.869000E-6	   7.038000E-6	  -5.984310E-4	   4.474000E-1	   1.433000E-6	   5.912000E-6
   3.537000E+0	   3.870000E-6	   7.038000E-6	  -5.984310E-4	   4.474000E-1	   1.434500E-6	   5.912000E-6
   3.691000E+0	   3.871000E-6	   7.038000E-6	  -5.984310E-4	   4.471000E-1	   1.435500E-6	   5.914000E-6
   3.825000E+0	   3.872000E-6	   7.039000E-6	  -6.079670E-4	   4.471000E-1	   1.435300E-6	   5.914000E-6
   3.997000E+0	   3.871000E-6	   7.039000E-6	  -6.079670E-4	   4.469000E-1	   1.434100E-6	   5.914000E-6
   4.132000E+0	   3.871000E-6	   7.040000E-6	  -5.936620E-4	   4.469000E-1	   1.432000E-6	   5.914000E-6
   4.278000E+0	   3.870000E-6	   7.040000E-6	  -5.936620E-4	   4.469000E-1	   1.430000E-6	   5.914000E-6
   4.411000E+0	   3.869000E-6	   7.040000E-6	  -6.341930E-4	   4.465000E-1	   1.427700E-6	   5.914000E-6
   4.542000E+0	   3.869000E-6	   7.040000E-6	  -6.341930E-4	   4.465000E-1	   1.426200E-6	   5.914000E-6
   4.680000E+0	   3.869000E-6	   7.040000E-6	  -6.365780E-4	   4.463000E-1	   1.425700E-6	   5.914000E-6
   4.825000E+0	   3.869000E-6	   7.040000E-6	  -6.365780E-4	   4.463000E-1	   1.425500E-6	   5.913000E-6
   4.959000E+0	   3.869000E-6	   7.042000E-6	  -6.723400E-4	   4.463000E-1	   1.425600E-6	   5.912000E-6
   5.106000E+0	   3.869000E-6	   7.044000E-6	  -6.723400E-4	   4.460000E-1	   1.426200E-6	   5.912000E-6
   5.253000E+0	   3.868000E-6	   7.045000E-6	  -6.628040E-4	   4.460000E-1	   1.427100E-6	   5.911000E-6
   5.401000E+0	   3.866000E-6	   7.044000E-6	  -6.628040E-4	   4.456000E-1	   1.427900E-6	   5.910000E-6
   5.548000E+0	   3.865000E-6	   7.043000E-6	  -6.461140E-4	   4.456000E-1	   1.428400E-6	   5.909000E-6
   5.687000E+0	   3.865000E-6	   7.043000E-6	  -6.461140E-4	   4.456000E-1	   1.428800E-6	   5.909000E-6
   5.821000E+0	   3.864000E-6	   7.043000E-6	  -6.151200E-4	   4.456000E-1	   1.429400E-6	   5.908000E-6
   5.954000E+0	   3.864000E-6	   7.044000E-6	  -6.151200E-4	   4.452000E-1	   1.430300E-6	   5.909000E-6
   6.089000E+0	   3.863000E-6	   7.047000E-6	  -6.031990E-4	   4.452000E-1	   1.431300E-6	   5.909000E-6
   6.249000E+0	   3.863000E-6	   7.049000E-6	  -6.031990E-4	   4.452000E-1	   1.432200E-6	   5.910000E-6
   6.397000E+0	   3.862000E-6	   7.050000E-6	  -5.888940E-4	   4.448000E-1	   1.433100E-6	   5.910000E-6
   6.544000E+0	   3.862000E-6	   7.051000E-6	  -5.888940E-4	   4.448000E-1	   1.434100E-6	   5.911000E-6
   6.697000E+0	   3.863000E-6	   7.050000E-6	  -5.793570E-4	   4.448000E-1	   1.434900E-6	   5.912000E-6
   6.844000E+0	   3.864000E-6	   7.050000E-6	  -5.793570E-4	   4.444000E-1	   1.435200E-6	   5.913000E-6
   6.992000E+0	   3.865000E-6	   7.049000E-6	  -5.960460E-4	   4.444000E-1	   1.435400E-6	   5.914000E-6
   7.125000E+0	   3.866000E-6	   7.048000E-6	  -5.960460E-4	   4.444000E-1	   1.435900E-6	   5.914000E-6
   7.261000E+0	   3.866000E-6	   7.048000E-6	  -5.984310E-4	   4.441000E-1	   1.436900E-6	   5.915000E-6
   7.407000E+0	   3.867000E-6	   7.047000E-6	  -5.984310E-4	   4.441000E-1	   1.438000E-6	   5.916000E-6
   7.555000E+0	   3.868000E-6	   7.047000E-6	  -6.031990E-4	   4.441000E-1	   1.438800E-6	   5.917000E-6
   7.707000E+0	   3.868000E-6	   7.047000E-6	  -6.031990E-4	   4.437000E-1	   1.439000E-6	   5.918000E-6
   7.855000E+0	   3.869000E-6	   7.047000E-6	  -5.698200E-4	   4.437000E-1	   1.438500E-6	   5.919000E-6
   8.002000E+0	   3.869000E-6	   7.046000E-6	  -5.698200E-4	   4.437000E-1	   1.437600E-6	   5.920000E-6
