    Time: 2018-3-22 12:50:01
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180322\180322.004
Experimenter: 
Sample:







     180322_004_Time	 180322_004_LI5640_X	 180322_004_K2612_Va	 180322_004_K2612_Ib
   1.756050E+2	   7.818000E-6	  -1.999940E+1	   7.867810E-7
   1.758600E+2	   7.819000E-6	  -1.991940E+1	   8.821490E-7
   1.761100E+2	   7.815000E-6	  -1.983970E+1	   8.344650E-7
   1.763640E+2	   7.798000E-6	  -1.975960E+1	   8.702280E-7
   1.766080E+2	   7.775000E-6	  -1.967960E+1	   7.271770E-7
   1.768420E+2	   7.753000E-6	  -1.959960E+1	   6.437300E-7
   1.770830E+2	   7.735000E-6	  -1.951960E+1	   7.629390E-7
   1.773250E+2	   7.722000E-6	  -1.943950E+1	   6.198880E-7
   1.775790E+2	   7.712000E-6	  -1.935980E+1	   5.126000E-7
   1.778150E+2	   7.704000E-6	  -1.927980E+1	   3.933910E-7
   1.780520E+2	   7.699000E-6	  -1.919970E+1	   5.006790E-7
   1.783060E+2	   7.696000E-6	  -1.911970E+1	   4.529950E-7
   1.785390E+2	   7.694000E-6	  -1.903970E+1	   4.053120E-7
   1.787850E+2	   7.693000E-6	  -1.895960E+1	   3.695490E-7
   1.790310E+2	   7.693000E-6	  -1.887980E+1	   2.622600E-7
   1.792740E+2	   7.694000E-6	  -1.879990E+1	   3.099440E-7
   1.795220E+2	   7.698000E-6	  -1.871980E+1	   2.145770E-7
   1.797590E+2	   7.702000E-6	  -1.863980E+1	   2.741810E-7
   1.800090E+2	   7.706000E-6	  -1.855970E+1	   3.099440E-7
   1.802560E+2	   7.710000E-6	  -1.847970E+1	   3.457070E-7
   1.804940E+2	   7.715000E-6	  -1.839990E+1	   3.099440E-7
   1.807370E+2	   7.720000E-6	  -1.831990E+1	   4.529950E-7
   1.809870E+2	   7.724000E-6	  -1.823980E+1	   4.887580E-7
   1.812280E+2	   7.724000E-6	  -1.815980E+1	   4.768370E-7
   1.814700E+2	   7.724000E-6	  -1.807970E+1	   4.887580E-7
   1.817200E+2	   7.727000E-6	  -1.800000E+1	   4.887580E-7
   1.819570E+2	   7.732000E-6	  -1.792000E+1	   4.172330E-7
   1.822000E+2	   7.735000E-6	  -1.784000E+1	   4.053120E-7
   1.824430E+2	   7.736000E-6	  -1.775990E+1	   5.126000E-7
   1.826860E+2	   7.737000E-6	  -1.767990E+1	   3.576280E-7
   1.829290E+2	   7.738000E-6	  -1.759980E+1	   2.741810E-7
   1.831760E+2	   7.737000E-6	  -1.752010E+1	   3.695490E-7
   1.834520E+2	   7.733000E-6	  -1.744010E+1	   3.457070E-7
   1.837020E+2	   7.730000E-6	  -1.736000E+1	   3.337860E-7
   1.839430E+2	   7.730000E-6	  -1.727990E+1	   1.311300E-7
   1.841970E+2	   7.731000E-6	  -1.719990E+1	   1.788140E-7
   1.844370E+2	   7.730000E-6	  -1.711990E+1	   1.668930E-7
   1.846740E+2	   7.729000E-6	  -1.704010E+1	   0.000000E+0
   1.849240E+2	   7.730000E-6	  -1.696000E+1	  -4.768370E-8
   1.851620E+2	   7.734000E-6	  -1.688010E+1	   1.192090E-8
   1.854040E+2	   7.736000E-6	  -1.679990E+1	   3.576280E-8
   1.864810E+2	   7.733000E-6	  -1.671990E+1	   2.026560E-7
   1.867730E+2	   7.734000E-6	  -1.663980E+1	   3.576280E-8
   1.870320E+2	   7.735000E-6	  -1.656010E+1	   2.622600E-7
   1.872680E+2	   7.737000E-6	  -1.648000E+1	   4.291530E-7
