    Time: 2018-3-23 13:34:30
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180323\180323.002
Experimenter: 
Sample:







     180323_002_Time	 180323_002_LI5640_X	 180323_002_K2612_Va	 180323_002_K2612_Ib	   180323_002_IPS120
   5.337000E+0	   7.612000E-6	  -3.999960E+0	   4.172330E-7	  -4.500000E-1
   5.587000E+0	   7.856000E-6	  -3.995820E+0	   4.529950E-7	  -4.500000E-1
   5.843000E+0	   8.079000E-6	  -3.992020E+0	   4.529950E-7	  -4.500000E-1
   6.107000E+0	   8.135000E-6	  -3.987830E+0	   2.861020E-7	  -4.500000E-1
   6.451000E+0	   8.018000E-6	  -3.983750E+0	   3.933910E-7	  -4.500000E-1
   6.707000E+0	   7.890000E-6	  -3.979890E+0	   4.291530E-7	  -4.500000E-1
   6.961000E+0	   7.777000E-6	  -3.975770E+0	   5.722050E-7	  -4.500000E-1
   7.211000E+0	   7.689000E-6	  -3.971950E+0	   4.529950E-7	  -4.500000E-1
   7.459000E+0	   7.627000E-6	  -3.967810E+0	   5.602840E-7	  -4.500000E-1
   7.706000E+0	   7.586000E-6	  -3.963990E+0	   6.079670E-7	  -4.500000E-1
   8.003000E+0	   7.556000E-6	  -3.959880E+0	   3.814700E-7	  -4.500000E-1
   8.267000E+0	   7.544000E-6	  -3.955730E+0	   3.218650E-7	  -4.500000E-1
   8.518000E+0	   7.537000E-6	  -3.951940E+0	   2.980230E-7	  -4.500000E-1
   8.782000E+0	   7.535000E-6	  -3.947790E+0	   4.291530E-7	  -4.500000E-1
   9.036000E+0	   7.534000E-6	  -3.944010E+0	   3.576280E-7	  -4.500000E-1
   9.289000E+0	   7.532000E-6	  -3.939910E+0	   2.384190E-7	  -4.500000E-1
   9.549000E+0	   7.531000E-6	  -3.935710E+0	   3.337860E-7	  -4.500000E-1
   9.805000E+0	   7.531000E-6	  -3.931940E+0	   2.622600E-7	  -4.500000E-1
   1.005000E+1	   7.533000E-6	  -3.927830E+0	   3.576280E-7	  -4.500000E-1
   1.029300E+1	   7.537000E-6	  -3.924000E+0	   2.861020E-7	  -4.500000E-1
   1.055000E+1	   7.542000E-6	  -3.919870E+0	   4.053120E-7	  -4.500000E-1
   1.080400E+1	   7.547000E-6	  -3.915760E+0	   2.980230E-7	  -4.500000E-1
   1.105000E+1	   7.549000E-6	  -3.911910E+0	   2.980230E-7	  -4.500000E-1
   1.129600E+1	   7.552000E-6	  -3.907840E+0	   3.337860E-7	  -4.500000E-1
   1.154000E+1	   7.556000E-6	  -3.904030E+0	   1.549720E-7	  -4.500000E-1
   1.178700E+1	   7.558000E-6	  -3.899930E+0	   2.741810E-7	  -4.500000E-1
   1.203600E+1	   7.559000E-6	  -3.895780E+0	   3.695490E-7	  -4.500000E-1
   1.228700E+1	   7.559000E-6	  -3.891960E+0	   3.099440E-7	  -4.500000E-1
   1.253500E+1	   7.557000E-6	  -3.887830E+0	   3.457070E-7	  -4.500000E-1
   1.279000E+1	   7.555000E-6	  -3.884000E+0	   4.887580E-7	  -4.500000E-1
   1.303900E+1	   7.555000E-6	  -3.879860E+0	   5.126000E-7	  -4.500000E-1
   1.329500E+1	   7.555000E-6	  -3.876040E+0	   3.814700E-7	  -4.500000E-1
   1.354900E+1	   7.555000E-6	  -3.871920E+0	   5.722050E-7	  -4.500000E-1
   1.379500E+1	   7.555000E-6	  -3.867760E+0	   5.245210E-7	  -4.500000E-1
   1.404100E+1	   7.556000E-6	  -3.863990E+0	   5.006790E-7	  -4.500000E-1
   1.429800E+1	   7.556000E-6	  -3.859860E+0	   5.126000E-7	  -4.500000E-1
   1.455300E+1	   7.557000E-6	  -3.856030E+0	   4.649160E-7	  -4.500000E-1
   1.558700E+1	   7.557000E-6	  -3.851940E+0	   7.033350E-7	  -4.500000E-1
   1.561500E+1	   7.557000E-6	  -3.851940E+0	   7.033350E-7	  -4.500000E-1
   1.565500E+1	   7.557000E-6	  -3.851940E+0	   7.033350E-7	  -4.500000E-1
   1.569400E+1	   7.557000E-6	  -3.851940E+0	   7.033350E-7	  -4.500000E-1
   1.574500E+1	   7.557000E-6	  -3.851950E+0	   7.033350E-7	  -4.500000E-1
   1.578400E+1	   7.557000E-6	  -3.851950E+0	   7.033350E-7	  -4.500000E-1
   1.583500E+1	   7.558000E-6	  -3.851950E+0	   6.675720E-7	  -4.500000E-1
   1.587500E+1	   7.558000E-6	  -3.851950E+0	   6.675720E-7	  -4.500000E-1
   1.591000E+1	   7.558000E-6	  -3.851950E+0	   6.675720E-7	  -4.500000E-1
   1.594900E+1	   7.559000E-6	  -3.851950E+0	   6.675720E-7	  -4.500000E-1
   1.600200E+1	   7.559000E-6	  -3.851950E+0	   6.675720E-7	  -4.500000E-1
   1.605200E+1	   7.559000E-6	  -3.851950E+0	   6.914140E-7	  -4.500000E-1
   1.609100E+1	   7.560000E-6	  -3.851950E+0	   6.914140E-7	  -4.500000E-1
   1.612900E+1	   7.560000E-6	  -3.851950E+0	   6.914140E-7	  -4.500000E-1
   1.616600E+1	   7.560000E-6	  -3.851950E+0	   6.914140E-7	  -4.500000E-1
   1.621800E+1	   7.561000E-6	  -3.851990E+0	   6.914140E-7	  -4.500000E-1
   1.625700E+1	   7.562000E-6	  -3.851990E+0	   4.768370E-7	  -4.500000E-1
   1.629500E+1	   7.562000E-6	  -3.851990E+0	   4.768370E-7	  -4.500000E-1
   1.633000E+1	   7.563000E-6	  -3.851990E+0	   4.768370E-7	  -4.500000E-1
   1.637000E+1	   7.563000E-6	  -3.851990E+0	   4.768370E-7	  -4.500000E-1
   1.641900E+1	   7.564000E-6	  -3.851960E+0	   4.768370E-7	  -4.500000E-1
   1.645900E+1	   7.565000E-6	  -3.851960E+0	   4.768370E-7	  -4.500000E-1
