    Time: 2018-4-5 15:57:51
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\Round2\20180404\2018-04\180405\180405.004
Experimenter: 
Sample:

Image:R-Ibias Relationship, (All B=0)

I_ac_a=100nA
I_ac_b=100nA
I_ac_c=100nA
I_ac_d=1nA
I_ac_e=100nA

R_bias=1M Omega (#a #d#e)
R_bias=1M Omega (#b#c)



     180405_004_Time	180405_004_T_MC_Kelv	       180405_004_#a	       180405_004_#b	       180405_004_#c	       180405_004_#d	       180405_004_#e	    180405_004_Vbias	      180405_004_I_B
   4.000000E-3	   2.630000E-2	   3.805000E-7	   6.579000E-7	   1.295900E-6	   1.655000E-6	   8.550000E-8	   1.999940E+1	   1.072880E-7
   2.840000E-1	   2.630000E-2	   3.810000E-7	   6.589000E-7	   1.295300E-6	   1.655000E-6	   8.470000E-8	   1.999940E+1	   3.099440E-7
   5.350000E-1	   2.630000E-2	   3.811000E-7	   6.595000E-7	   1.294600E-6	   1.653000E-6	   8.460000E-8	   1.999940E+1	   1.788140E-7
   7.560000E-1	   2.630000E-2	   3.803000E-7	   6.599000E-7	   1.294000E-6	   1.647000E-6	   8.530000E-8	   1.999940E+1	   3.576280E-8
   9.750000E-1	   2.630000E-2	   3.791000E-7	   6.608000E-7	   1.294600E-6	   1.634000E-6	   8.590000E-8	   1.999940E+1	   1.311300E-7
   1.235000E+0	   2.630000E-2	   3.797000E-7	   6.616000E-7	   1.295400E-6	   1.618000E-6	   8.590000E-8	   1.999940E+1	   7.152560E-8
   1.444000E+0	   2.630000E-2	   3.820000E-7	   6.621000E-7	   1.295600E-6	   1.598000E-6	   8.540000E-8	   1.999940E+1	   2.264980E-7
   1.678000E+0	   2.630000E-2	   3.838000E-7	   6.620000E-7	   1.295000E-6	   1.590000E-6	   8.520000E-8	   1.999940E+1	   3.218650E-7
   1.897000E+0	   2.630000E-2	   3.852000E-7	   6.614000E-7	   1.293500E-6	   1.592000E-6	   8.440000E-8	   1.999940E+1	   1.907350E-7
   2.142000E+0	   2.630000E-2	   3.862000E-7	   6.606000E-7	   1.292100E-6	   1.587000E-6	   8.360000E-8	   1.999940E+1	   1.549720E-7
   2.394000E+0	   2.630000E-2	   3.864000E-7	   6.598000E-7	   1.291300E-6	   1.569000E-6	   8.320000E-8	   1.999940E+1	   2.384190E-7
   2.626000E+0	   2.630000E-2	   3.859000E-7	   6.597000E-7	   1.291000E-6	   1.551000E-6	   8.350000E-8	   1.999950E+1	   1.192090E-7
   2.899000E+0	   2.630000E-2	   3.844000E-7	   6.606000E-7	   1.291600E-6	   1.545000E-6	   8.410000E-8	   1.999940E+1	   1.192090E-7
   3.131000E+0	   2.630000E-2	   3.816000E-7	   6.610000E-7	   1.293900E-6	   1.549000E-6	   8.410000E-8	   1.999940E+1	   1.072880E-7
   3.450000E+0	   2.630000E-2	   3.803000E-7	   6.603000E-7	   1.295000E-6	   1.556000E-6	   8.380000E-8	   1.999950E+1	   1.192090E-8
   3.653000E+0	   2.630000E-2	   3.798000E-7	   6.583000E-7	   1.295100E-6	   1.560000E-6	   8.330000E-8	   1.999950E+1	   9.536740E-8
   3.914000E+0	   2.630000E-2	   3.783000E-7	   6.566000E-7	   1.294100E-6	   1.565000E-6	   8.400000E-8	   1.999940E+1	   4.768370E-8
